statut_amm,statut_commercialisation,specialite,dosage,forme,presentation,pp_gn,substance_active,classe_therapeutique,epi,ppv,ph,pfht,code,tva
AMM ENREGISTREE,Non Commercialisé,ACULAR,"0,005",COLLYRE,FLACON DE 5 ML,PP,KETOROLAC TROMETHAMINE,OPHTALMOLOGIE,AFRIC PHAR,"36,3","22,7","21,64",1,
AMM ENREGISTREE,Non Commercialisé,ACUVAIL,"0,0045",COLLYRE EN SOLUTION,"BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML",PP,KETOROLAC TROMETHAMINE,OPHTALMOLOGIE,AFRIC PHAR,"127,5","79,7","75,9",2,
AMM ENREGISTREE,Non Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 100 ML,GN,ISOFLURANE,ANESTHESIE - REANIMATION,AFRIC PHAR,338,225,"214,5268",3,
AMM ENREGISTREE,Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 250 ML,GN,ISOFLURANE,ANESTHESIE - REANIMATION,AFRIC PHAR,756,502,"478,8571",4,
AMM ENREGISTREE,Commercialisé,ALGIK,500  MG  /  50  MG,COMPRIME,BOITE DE 16,GN,PARACETAMOL // CAFEINE,ANESTHESIE - REANIMATION,AFRIC PHAR,"12,4","7,7","7,3709",5,
AMM ENREGISTREE,Commercialisé,ALGIK,500  MG  /  50  MG,SACHET,BOITE DE 20,GN,PARACETAMOL // CAFEINE,ANESTHESIE - REANIMATION,AFRIC PHAR,"20,4","12,8","12,1551",6,
AMM ENREGISTREE,Commercialisé,ALPHAGAN,"0,002",COLLYRE,FLACON DE 5 ML,PP,BRIMONIDINE (TARTRATE),OPHTALMOLOGIE,AFRIC PHAR,"85,5","53,4","50,88",7,
AMM ENREGISTREE,Commercialisé / AO,AMOXICILLINE LLORENTE,250  MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"22,8","14,3","13,6",8,
AMM ENREGISTREE,Commercialisé / AO,AMOXICILLINE LLORENTE,500  MG,GELULE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"32,3","20,2","19,24",9,
AMM ENREGISTREE,Commercialisé / AO,AMOXICILLINE LLORENTE,500  MG,GELULE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"56,9","35,5","33,86",10,
AMM RETIREE,Retiré du Marché,AMPICILLINE LLORENTE,250  MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"24,5","15,3","13,6293",11,
AMM ENREGISTREE,Non Commercialisé,AMPICILLINE LLORENTE,500  MG,GELULE,BOITE DE 12,GN,AMPICILLINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"34,3","21,5","20,4439",12,
AMM ENREGISTREE,Non Commercialisé,AMPICILLINE LLORENTE,500  MG,GELULE,BOITE DE 24,GN,AMPICILLINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"61,8","38,6","36,7991",13,
AMM RETIREE,Retiré du Marché,AMPICILLINE LLORENTE,500  MG,POUDRE POUR PREPARATION INJECTABLE,BOITE DE 1 AMPOULE,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"9,9","6,2","5,5073",14,
AMM ENREGISTREE,Commercialisé,BELMAZOL,20  MG,GELULE,BOITE DE 14,GN,OMEPRAZOLE,GASTRO-ENTERO-HEPATOLOGIE,AFRIC PHAR,"45,8","28,6","27,2586",15,
AMM ENREGISTREE,Commercialisé,BELMAZOL,20  MG,GELULE,BOITE DE 28,GN,OMEPRAZOLE,GASTRO-ENTERO-HEPATOLOGIE,AFRIC PHAR,"89,7","56,1","53,4045",16,
AMM ENREGISTREE,Commercialisé,BELMAZOL,20  MG,GELULE,BOITE DE 7,GN,OMEPRAZOLE,GASTRO-ENTERO-HEPATOLOGIE,AFRIC PHAR,21,"13,1","12,5167",17,
AMM ENREGISTREE,Commercialisé,BEMAG,500  MG  /  125  MG,SOLUTION BUVABLE,BOITE DE 20 AMPOULE DE 10 ML,GN,MAGNESIUM (GLYCEROPHOSPHATE) // PYRIDOXINE (CHLORHYDRATE),METABOLISME- DIABETE - NUTRITION,AFRIC PHAR,"39,1","24,4","23,2532",18,
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,1000  MG,COMPRIME ENROBE,BOITE DE 12,GN,CEFADROXIL,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,143,"89,4","85,1135",19,
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,125  MG  /  5  ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,GN,CEFADROXIL,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"24,1","15,1","14,3525",20,
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,250  MG  /  5  ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,GN,CEFADROXIL,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"42,9","26,8","25,534",21,
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,500  MG,GELULE,BOITE DE 12,GN,CEFADROXIL,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"71,5","44,7","42,5567",22,
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,AFRIC PHAR,"51,4","32,1","30,59",23,
